"Control and Decision Conference (CCDC), 2016 Chinese",11
"Power Systems Conference and Exposition (PSCE), 2011 IEEE/PES",11
"Transmission and Distribution Conference and Exposition (T&D), 2016 IEEE/PES",11
"Dielectrics (ICD), 2016 IEEE International Conference on",11
"Instrumentation and Measurement Technology Conference Proceedings (I2MTC), 2016 IEEE International",11
"Renewable Energy Research and Applications (ICRERA), 2012 International Conference on",11
"Globecom Workshops (GC Wkshps), 2013 IEEE",11
"Industrial Technology (ICIT), 2016 IEEE International Conference on",11
"IPEC, 2010 Conference Proceedings",11
IEEE Transactions on Vehicular Technology,11
"Communications Workshops (ICC), 2010 IEEE International Conference on",11
"Power Systems Conference (NPSC), 2016 National",11
"Universities'' Power Engineering Conference (UPEC), Proceedings of 2011 46th International",11
"Smart Grid Engineering (SGE), 2012 IEEE International Conference on",11
"Intelligent Energy Systems (IWIES), 2014 IEEE International Workshop on",11
